Pump current	Output power
130	675
135	758
140	839
145	921
150	1004
155	1089
160	1168
165	1251
170	1334
175	1422
180	1506
185	1586
190	1669
195	1754
200	1841
205	1924
210	2006
215	2086
220	2172
225	2253
230	2330
235	2413
240	2493
245	2576
250	2650
255	2748
260	2832
265	2920
270	3003
275	3083
280	3163
285	3243
290	3326
295	3411
300	3486
305	3569
310	3650
315	3736
320	3816
325	3897
330	3978
335	4060
340	4154
345	4233
350	4318
355	4398
360	4482